Place,Bib,Name,Gender,Chip Time,Chip Pace,Division,Division Place,Time to Start,Gun Time
1,415,THREE FLASHES AND AN OLD FIZZLE ,M,01:20:26,06:08,Male,1 of 2,00:00:00,01:20:26
2,422,RUNNING HOOD ,I,01:33:00,07:06,Mixed,1 of 12,00:00:00,01:33:00
3,419,TRAIL FAIRIES ,F,01:39:39,07:36,Female,1 of 7,00:00:00,01:39:39
4,406,THERAPEUTIC ASSOCIATES 1 ,I,01:45:18,08:02,Mixed,2 of 12,00:00:00,01:45:18
5,412,CAPTAIN SPANKERS AND THE MEN IN TIGHTS ,I,01:45:39,08:03,Mixed,3 of 12,00:00:00,01:45:39
6,402,QUADZUKI ,M,01:51:09,08:29,Male,2 of 2,00:00:00,01:51:09
7,408,RUN THE YULES ,I,01:53:05,08:37,Mixed,4 of 12,00:00:00,01:53:05
8,423,WE RUN FOR SWAG ,I,01:54:41,08:45,Mixed,5 of 12,00:00:00,01:54:41
9,414,PROCRASTINATORS ,I,01:56:02,08:51,Mixed,6 of 12,00:00:00,01:56:02
10,416,LIGHTNING FAST ,F,01:57:46,08:59,Female,2 of 7,00:00:00,01:57:46
11,418,I AM GROOT ,I,01:58:04,09:00,Mixed,7 of 12,00:00:00,01:58:04
12,413,THE SUPER DUPER HERO'S ,I,02:07:51,09:45,Mixed,8 of 12,00:00:00,02:07:51
13,403,NEW YEAR'S REVOLUTION ,I,02:09:25,09:52,Mixed,9 of 12,00:00:00,02:09:25
14,411,NORTHWEST IN A DRESS ,F,02:14:51,10:17,Female,3 of 7,00:00:00,02:14:51
15,404,NOT FAST BUT FURIOUS ,I,02:15:37,10:21,Mixed,10 of 12,00:00:00,02:15:37
16,417,COFFEE CRUNCHERS ,F,02:18:22,10:33,Female,4 of 7,00:00:00,02:18:22
17,405,THERAPEUTIC ASSOCIATES 2 ,I,02:20:37,10:44,Mixed,11 of 12,00:00:00,02:20:37
18,407,RUNNING LIKE MOTHERS ,F,02:22:46,10:53,Female,5 of 7,00:00:00,02:22:46
19,401,POO-POURRI ,F,02:22:58,10:54,Female,6 of 7,00:00:00,02:22:58
20,421,RUN LIKE THE WINDED ,I,02:37:13,12:00,Mixed,12 of 12,-01:-02:-57,01:34:16
21,410,PRANCING PONIES ,F,03:03:39,14:01,Female,7 of 7,00:00:00,03:03:39
